itemCode,dscription,codeBars,mnfctrCode,salesItem,purchItem,returnItem,classCode,uom1,uom2,uom3,length,length1,width,width1,height,height1,weight1,weight2,lstSalDate,lstPurDate,regDate,locked,objType,auditDate,auditUser,backupSts,uom4,isFocus,isTM,isNPL,longdesc,forCod
VA75001,DOCARE,1700000005,,Y,Y,Y,0,1,48,1,0,0,0,0,0,0,0,0,2/16/2023,2/16/2023,2/16/2023,N,2023,3/14/23 0:00,irwan,N,4800,,N,N, ,N
YK01001,Yunikon ,8997233270398,0,Y,Y,Y,2,1,48,1,0,0,0,0,0,0,0,0,12/15/2023,12/15/2023,12/15/2023,N,2023,12/15/23 0:00,admin,Y,4800,,N,N, ,N
YK01002,Yunikon ,8997233270435,0,Y,Y,Y,2,1,18,1,0,0,0,0,0,0,0,0,12/15/2023,12/15/2023,12/15/2023,N,2023,12/15/23 0:00,admin,Y,1800,,N,N, ,N
YK02001,Yunikon ,8997233270381,0,Y,Y,Y,2,1,48,1,0,0,0,0,0,0,0,0,12/15/2023,12/15/2023,12/15/2023,N,2023,12/15/23 0:00,admin,Y,4800,,N,N, ,N
YK02002,Yunikon ,8997233270442,0,Y,Y,Y,2,1,18,1,0,0,0,0,0,0,0,0,12/15/2023,12/15/2023,12/15/2023,N,2023,12/15/23 0:00,admin,Y,1800,,N,N, ,N
YK03001,Yunikon ,8997233270404,0,Y,Y,Y,2,1,48,1,0,0,0,0,0,0,0,0,12/15/2023,12/15/2023,12/15/2023,N,2023,12/15/23 0:00,admin,Y,4800,,N,N, ,N
YK03002,Yunikon ,8997233270459,0,Y,Y,Y,2,1,18,1,0,0,0,0,0,0,0,0,12/15/2023,12/15/2023,12/15/2023,N,2023,12/15/23 0:00,admin,Y,1800,,N,N, ,N
YK04001,Yunikon ,8997233270428,0,Y,Y,Y,2,1,48,1,0,0,0,0,0,0,0,0,12/15/2023,12/15/2023,12/15/2023,N,2023,12/15/23 0:00,admin,Y,4800,,N,N, ,N
YK04002,Yunikon ,8997233270466,0,Y,Y,Y,2,1,18,1,0,0,0,0,0,0,0,0,12/15/2023,12/15/2023,12/15/2023,N,2023,12/15/23 0:00,admin,Y,1800,,N,N, ,N
YK05001,Yunikon ,8997233270862,0,Y,Y,Y,2,1,12,1,0,0,0,0,0,0,0,0,12/15/2023,12/15/2023,12/15/2023,N,2023,12/15/23 0:00,admin,Y,1200,,N,N, ,N
YK05002,Yunikon ,8997233270855,0,Y,Y,Y,2,1,12,1,0,0,0,0,0,0,0,0,12/15/2023,12/15/2023,12/15/2023,N,2023,12/15/23 0:00,admin,Y,1200,,N,N, ,N
YK05003,Yunikon ,8997233270848,0,Y,Y,Y,2,1,12,1,0,0,0,0,0,0,0,0,12/15/2023,12/15/2023,12/15/2023,N,2023,12/15/23 0:00,admin,Y,1200,,N,N, ,N
YK05004,Yunikon ,8997233270831,0,Y,Y,Y,2,1,12,1,0,0,0,0,0,0,0,0,12/15/2023,12/15/2023,12/15/2023,N,2023,12/15/23 0:00,admin,Y,1200,,N,N, ,N
YK06001,Yunikon ,8997233270770,0,Y,Y,Y,2,1,35,1,0,0,0,0,0,0,0,0,12/15/2023,12/15/2023,12/15/2023,N,2023,12/15/23 0:00,admin,Y,3500,,N,N, ,N
YK06002,Yunikon ,8997233270787,0,Y,Y,Y,2,1,35,1,0,0,0,0,0,0,0,0,12/15/2023,12/15/2023,12/15/2023,N,2023,12/15/23 0:00,admin,Y,3500,,N,N, ,N
YK07001,Baby Cologne ,8997233270954,0,Y,Y,Y,2,1,48,1,0,0,0,0,0,0,0,0,12/15/2023,12/15/2023,12/15/2023,N,2023,12/15/23 0:00,admin,Y,4800,,N,N, ,N
YK07002,Baby Cologne ,8997233270978,0,Y,Y,Y,2,1,48,1,0,0,0,0,0,0,0,0,12/15/2023,12/15/2023,12/15/2023,N,2023,12/15/23 0:00,admin,Y,4800,,N,N, ,N
YK07003,Baby Cologne ,8997233270961,0,Y,Y,Y,2,1,48,1,0,0,0,0,0,0,0,0,12/15/2023,12/15/2023,12/15/2023,N,2023,12/15/23 0:00,admin,Y,4800,,N,N, ,N
YK08001,Yunikon ,8997233270923,0,Y,Y,Y,2,1,24,1,0,0,0,0,0,0,0,0,12/15/2023,12/15/2023,12/15/2023,N,2023,12/15/23 0:00,admin,Y,2400,,N,N, ,N
YK08002,Yunikon ,8997233270916,0,Y,Y,Y,2,1,24,1,0,0,0,0,0,0,0,0,12/15/2023,12/15/2023,12/15/2023,N,2023,12/15/23 0:00,admin,Y,2400,,N,N, ,N
YK08003,Yunikon ,8997233270909,0,Y,Y,Y,2,1,24,1,0,0,0,0,0,0,0,0,12/15/2023,12/15/2023,12/15/2023,N,2023,12/15/23 0:00,admin,Y,2400,,N,N, ,N
YK09001,Yunikon ,8997233271111,0,Y,Y,Y,2,1,24,1,0,0,0,0,0,0,0,0,12/15/2023,12/15/2023,12/15/2023,N,2023,12/15/23 0:00,admin,Y,2400,,N,N, ,N
YK09002,Yunikon ,8997233271050,0,Y,Y,Y,2,1,24,1,0,0,0,0,0,0,0,0,12/15/2023,12/15/2023,12/15/2023,N,2023,12/15/23 0:00,admin,Y,2400,,N,N, ,N
YK09003,Yunikon ,8997233271081,0,Y,Y,Y,2,1,24,1,0,0,0,0,0,0,0,0,12/15/2023,12/15/2023,12/15/2023,N,2023,12/15/23 0:00,admin,Y,2400,,N,N, ,N
YK09004,Yunikon ,8997233271128,0,Y,Y,Y,2,1,24,1,0,0,0,0,0,0,0,0,12/15/2023,12/15/2023,12/15/2023,N,2023,12/15/23 0:00,admin,Y,2400,,N,N, ,N
YK09005,Yunikon ,8997233271135,0,Y,Y,Y,2,1,24,1,0,0,0,0,0,0,0,0,12/15/2023,12/15/2023,12/15/2023,N,2023,12/15/23 0:00,admin,Y,2400,,N,N, ,N
YK09006,Yunikon ,8997233271098,0,Y,Y,Y,2,1,24,1,0,0,0,0,0,0,0,0,12/15/2023,12/15/2023,12/15/2023,N,2023,12/15/23 0:00,admin,Y,2400,,N,N, ,N
YK09007,Yunikon ,8997233271104,0,Y,Y,Y,2,1,24,1,0,0,0,0,0,0,0,0,12/15/2023,12/15/2023,12/15/2023,N,2023,12/15/23 0:00,admin,Y,2400,,N,N, ,N
YK09008,Yunikon ,8997233271074,0,Y,Y,Y,2,1,24,1,0,0,0,0,0,0,0,0,12/15/2023,12/15/2023,12/15/2023,N,2023,12/15/23 0:00,admin,Y,2400,,N,N, ,N
YK09009,Yunikon ,8997233271067,0,Y,Y,Y,2,1,24,1,0,0,0,0,0,0,0,0,12/15/2023,12/15/2023,12/15/2023,N,2023,12/15/23 0:00,admin,Y,2400,,N,N, ,N
YR01001,Yuri,AGA101993 ,0,Y,Y,Y,2,1,12,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,1200,,N,N, ,N
YR01002,Yuri,AGA101992 ,0,Y,Y,Y,2,1,12,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,1200,,N,N, ,N
YR01003,Yuri,AGA101991B ,0,Y,Y,Y,2,1,12,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,1200,,N,N, ,N
YR01004,Yuri,AGA080991 ,0,Y,Y,Y,2,1,12,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,1200,,N,N, ,N
YR01005,Yuri,AGA101393 ,0,Y,Y,Y,2,1,12,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,1200,,N,N, ,N
YR01006,Yuri,AGA101392 ,0,Y,Y,Y,2,1,12,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,1200,,N,N, ,N
YR01007,Yuri,AGA101391A,0,Y,Y,Y,2,1,12,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,1200,,N,N, ,N
YR01008,Yuri,AGA080391 ,0,Y,Y,Y,2,1,12,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,1200,,N,N, ,N
YR01009,Yuri,AGA101493 ,0,Y,Y,Y,2,1,6,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,600,,N,N, ,N
YR01010,Yuri,AGA101492 ,0,Y,Y,Y,2,1,6,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,600,,N,N, ,N
YR01011,Yuri,AGA101491A ,0,Y,Y,Y,2,1,6,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,600,,N,N, ,N
YR01012,Yuri,AGA080491 ,0,Y,Y,Y,2,1,6,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,600,,N,N, ,N
YR01013,Yuri,AGA101593,0,Y,Y,Y,2,1,4,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,400,,N,N, ,N
YR01014,Yuri,AGA101592,0,Y,Y,Y,2,1,4,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,400,,N,N, ,N
YR01015,Yuri,AGA101591,0,Y,Y,Y,2,1,4,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,400,,N,N, ,N
YR01016,Yuri,AGA080591,0,Y,Y,Y,2,1,4,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,400,,N,N, ,N
YR01017,Yuri,AGA101793,0,Y,Y,Y,2,1,1,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,100,,N,N, ,N
YR01018,Yuri,AGA080791,0,Y,Y,Y,2,1,1,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,100,,N,N, ,N
YR02001,Yuri,BBS106990 ,0,Y,Y,Y,2,1,24,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,2400,,N,N, ,N
YR02002,Yuri,BBS106390 ,0,Y,Y,Y,2,1,12,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,1200,,N,N, ,N
YR02003,Yuri,BBS106590,0,Y,Y,Y,2,1,4,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,400,,N,N, ,N
YR03001,Yuri,BLE123390 ,0,Y,Y,Y,2,1,12,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,1200,,N,N, ,N
YR03002,Yuri,BLE123392 ,0,Y,Y,Y,2,1,12,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,1200,,N,N, ,N
